Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2023-2025,4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",8700,8800,100,1.1,620,670,1390,32.97,68585,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-2082,Tax Preparers,19100,20100,1000,5.2,2190,2170,5360,24.61,51197,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-2099,"Financial Specialists, All Other",18100,18300,200,1.1,840,1510,2550,37.33,77642,Bachelor's degree,None,None
State,California,2023-2025,2,15-0000,Computer and Mathematical Occupations,717200,733600,16400,2.3,31130,53060,100590,64.25,133636,N/A,N/A,N/A
State,California,2023-2025,3,15-1200,Computer Occupations,672800,686800,14000,2.1,28970,49850,92820,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,15-1211,Computer Systems Analysts,59200,60300,1100,1.9,2990,3970,8060,61.13,127167,Bachelor's degree,None,None
State,California,2023-2025,4,15-1212,Information Security Analysts,13000,13700,700,5.4,580,980,2260,67.31,140012,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,15-1221,Computer and Information Research Scientists,7000,7300,300,4.3,350,540,1190,88.76,0,Master's degree,None,None
State,California,2023-2025,4,15-1231,Computer Network Support Specialists,15100,15300,200,1.3,750,1250,2200,37.26,77509,Associate's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,15-1232,Computer User Support Specialists,77800,78700,900,1.2,3850,6430,11180,34.55,71860,"Some college, no degree",None,Moderate-term on-the-job training
State,California,2023-2025,4,15-1241,Computer Network Architects,20900,21100,200,1.0,770,1440,2410,66.49,138309,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,15-1242,Database Administrators,7700,7800,100,1.3,390,500,990,54.91,114218,Bachelor's degree,None,None
State,California,2023-2025,4,15-1243,Database Architects,5000,5000,0,0.0,250,320,570,77.53,161259,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,15-1244,Network and Computer Systems Administrators,34400,34700,300,0.9,1410,2400,4110,52.25,108693,Bachelor's degree,None,None
State,California,2023-2025,4,15-1251,Computer Programmers,23400,23000,-400,-1.7,1140,1650,2390,57.99,120604,Bachelor's degree,None,None
State,California,2023-2025,4,15-1252,Software Developers,259600,267500,7900,3.0,9050,18860,35810,82.05,0,Bachelor's degree,None,None
State,California,2023-2025,4,15-1253,Software Quality Assurance Analysts and Testers,33600,34400,800,2.4,1710,2430,4940,62.36,129701,Bachelor's degree,None,None
State,California,2023-2025,4,15-1254,Web Developers,10300,10600,300,2.9,410,870,1580,49.73,103449,Bachelor's degree,None,None
State,California,2023-2025,4,15-1255,Web and Digital Interface Designers,21000,21500,500,2.4,1190,1800,3490,51.33,106772,Bachelor's degree,None,None
State,California,2023-2025,4,15-1299,"Computer Occupations, All Other",84800,86000,1200,1.4,4140,6420,11760,55.67,115786,Bachelor's degree,None,None
State,California,2023-2025,3,15-2000,Mathematical Science Occupations,44400,46800,2400,5.4,2160,3210,7770,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,15-2011,Actuaries,1200,1200,0,0.0,40,70,110,64.23,133584,Bachelor's degree,None,Long-term on-the-job training
State,California,2023-2025,4,15-2031,Operations Research Analysts,8900,9300,400,4.5,520,570,1490,44.90,93387,Bachelor's degree,None,None
State,California,2023-2025,4,15-2041,Statisticians,3200,3400,200,6.3,150,240,590,65.88,137032,Master's degree,None,None
State,California,2023-2025,4,15-2051,Data Scientists,30500,32200,1700,5.6,1420,2280,5400,63.31,131684,Bachelor's degree,None,None
State,California,2023-2025,2,17-0000,Architecture and Engineering Occupations,347500,358300,10800,3.1,19390,25780,55970,51.73,107603,N/A,N/A,N/A
State,California,2023-2025,3,17-1000,"Architects, Surveyors, and Cartographers",29900,31400,1500,5.0,1860,1960,5320,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,17-1011,"Architects, Except Landscape and Naval",20700,21800,1100,5.3,1240,1310,3650,48.38,100635,Bachelor's degree,None,Internship/residency
State,California,2023-2025,4,17-1012,Landscape Architects,3400,3600,200,5.9,260,280,740,49.42,102784,Bachelor's degree,None,Internship/residency
State,California,2023-2025,4,17-1021,Cartographers and Photogrammetrists,1000,1000,0,0.0,60,60,120,48.98,101891,Bachelor's degree,None,None
State,California,2023-2025,4,17-1022,Surveyors,4800,5000,200,4.2,300,310,810,49.90,103781,Bachelor's degree,None,Internship/residency
State,California,2023-2025,3,17-2000,Engineers,240200,247600,7400,3.1,11040,15930,34370,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,17-2011,Aerospace Engineers,10900,11300,400,3.7,510,650,1560,66.17,137634,Bachelor's degree,None,None
State,California,2023-2025,4,17-2031,Bioengineers and Biomedical Engineers,2900,3000,100,3.4,100,220,420,55.11,114633,Bachelor's degree,None,None
State,California,2023-2025,4,17-2051,Civil Engineers,47100,49000,1900,4.0,2060,3550,7510,52.57,109347,Bachelor's degree,None,None
State,California,2023-2025,4,17-2061,Computer Hardware Engineers,26300,26800,500,1.9,1020,1820,3340,82.37,0,Bachelor's degree,None,None
State,California,2023-2025,4,17-2071,Electrical Engineers,28900,29800,900,3.1,1360,1740,4000,66.59,138527,Bachelor's degree,None,None
State,California,2023-2025,4,17-2072,"Electronics Engineers, Except Computer",21500,21900,400,1.9,1010,1290,2700,66.39,138091,Bachelor's degree,None,None
State,California,2023-2025,4,17-2081,Environmental Engineers,7500,7700,200,2.7,460,510,1170,52.64,109482,Bachelor's degree,None,None
State,California,2023-2025,4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2200,2300,100,4.5,110,140,350,63.33,131726,Bachelor's degree,None,None
State,California,2023-2025,4,17-2112,Industrial Engineers,24600,25600,1000,4.1,1220,1520,3740,53.01,110261,Bachelor's degree,None,None
State,California,2023-2025,4,17-2131,Materials Engineers,3000,3000,0,0.0,170,190,360,52.51,109223,Bachelor's degree,None,None
State,California,2023-2025,4,17-2141,Mechanical Engineers,29700,31000,1300,4.4,1350,1950,4600,54.13,112598,Bachelor's degree,None,None
State,California,2023-2025,4,17-2171,Petroleum Engineers,2100,2100,0,0.0,80,150,230,67.35,140095,Bachelor's degree,None,None
State,California,2023-2025,4,17-2199,"Engineers, All Other",31300,31900,600,1.9,1510,2060,4170,60.73,126305,Bachelor's degree,None,None
State,California,2023-2025,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",77400,79300,1900,2.5,6490,7890,16280,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,17-3011,Architectural and Civil Drafters,12300,12800,500,4.1,1040,1280,2820,31.79,66128,Associate's degree,None,None
State,California,2023-2025,4,17-3012,Electrical and Electronics Drafters,3000,3100,100,3.3,220,280,600,37.75,78516,Associate's degree,None,None
State,California,2023-2025,4,17-3013,Mechanical Drafters,4900,4900,0,0.0,340,450,790,36.41,75723,Associate's degree,None,None
State,California,2023-2025,4,17-3019,"Drafters, All Other",2800,2800,0,0.0,200,260,460,30.79,64030,Associate's degree,None,None
State,California,2023-2025,4,17-3021,Aerospace Engineering and Operations Technologists and Technicians,2000,2200,200,10.0,160,220,580,41.08,85453,Associate's degree,None,None
State,California,2023-2025,4,17-3022,Civil Engineering Technologists and Technicians,6700,6900,200,3.0,520,700,1420,38.52,80115,Associate's degree,None,None
State,California,2023-2025,4,17-3023,Electrical and Electronics Engineering Technologists and Technicians,18300,18600,300,1.6,1880,1660,3840,38.29,79638,Associate's degree,None,None
State,California,2023-2025,4,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,2200,2200,0,0.0,170,230,400,37.05,77073,Associate's degree,None,None
State,California,2023-2025,4,17-3025,Environmental Engineering Technologists and Technicians,1900,1900,0,0.0,140,190,330,33.16,68973,Associate's degree,None,None
State,California,2023-2025,4,17-3026,Industrial Engineering Technologists and Technicians,2900,2900,0,0.0,220,300,520,35.63,74092,Associate's degree,None,None
State,California,2023-2025,4,17-3027,Mechanical Engineering Technologists and Technicians,3800,3900,100,2.6,290,400,790,36.97,76886,Associate's degree,None,None
State,California,2023-2025,4,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",11600,11800,200,1.7,890,1210,2300,37.60,78205,Associate's degree,None,None
State,California,2023-2025,4,17-3031,Surveying and Mapping Technicians,4200,4300,100,2.4,360,630,1090,37.16,77280,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,2,19-0000,"Life, Physical, and Social Science Occupations",219800,225000,5200,2.4,9150,27750,42100,44.09,91704,N/A,N/A,N/A
State,California,2023-2025,3,19-1000,Life Scientists,60100,61800,1700,2.8,1780,6130,9610,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,19-1012,Food Scientists and Technologists,3500,3500,0,0.0,110,430,540,41.68,86699,Bachelor's degree,None,None
State,California,2023-2025,4,19-1013,Soil and Plant Scientists,1600,1600,0,0.0,50,200,250,0.00,0,Bachelor's degree,None,None
State,California,2023-2025,4,19-1021,Biochemists and Biophysicists,8000,8200,200,2.5,270,910,1380,63.30,131663,Doctoral or professional degree,None,None
State,California,2023-2025,4,19-1022,Microbiologists,3100,3200,100,3.2,100,350,550,50.36,104757,Bachelor's degree,None,None
State,California,2023-2025,4,19-1023,Zoologists and Wildlife Biologists,1900,2000,100,5.3,70,220,390,39.11,81351,Bachelor's degree,None,None
State,California,2023-2025,4,19-1029,"Biological Scientists, All Other",17200,17500,300,1.7,570,1930,2800,51.75,107634,Bachelor's degree,None,None
State,California,2023-2025,4,19-1031,Conservation Scientists,1600,1700,100,6.3,60,210,370,37.73,78475,Bachelor's degree,None,None
State,California,2023-2025,4,19-1032,Foresters,1100,1100,0,0.0,40,130,170,28.82,59928,Bachelor's degree,None,None
State,California,2023-2025,4,19-1041,Epidemiologists,1200,1300,100,8.3,30,90,220,50.61,105266,Master's degree,None,None
State,California,2023-2025,4,19-1042,"Medical Scientists, Except Epidemiologists",19000,19600,600,3.2,450,1500,2550,61.90,128745,Doctoral or professional degree,None,None
State,California,2023-2025,4,19-1099,"Life Scientists, All Other",1800,1900,100,5.6,40,140,280,54.21,112753,Bachelor's degree,None,None
State,California,2023-2025,3,19-2000,Physical Scientists,38200,39100,900,2.4,1270,4180,6350,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,19-2012,Physicists,5800,6000,200,3.4,290,400,890,85.12,0,Doctoral or professional degree,None,None
State,California,2023-2025,4,19-2031,Chemists,10200,10400,200,2.0,310,1080,1590,44.54,92639,Bachelor's degree,None,None
State,California,2023-2025,4,19-2041,"Environmental Scientists and Specialists, Including Health",12600,13000,400,3.2,410,1580,2390,47.48,98755,Bachelor's degree,None,None
State,California,2023-2025,4,19-2042,"Geoscientists, Except Hydrologists and Geographers",3700,3800,100,2.7,100,480,680,43.85,91216,Bachelor's degree,None,None
State,California,2023-2025,4,19-2043,Hydrologists,1000,1000,0,0.0,30,130,160,54.05,112431,Bachelor's degree,None,None
State,California,2023-2025,4,19-2099,"Physical Scientists, All Other",3200,3300,100,3.1,80,340,520,57.25,119067,Bachelor's degree,None,None
State,California,2023-2025,3,19-3000,Social Scientists and Related Workers,47700,48900,1200,2.5,2100,4160,7460,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,19-3011,Economists,1500,1500,0,0.0,50,140,190,56.43,117374,Master's degree,None,None
State,California,2023-2025,4,19-3032,Industrial-Organizational Psychologists,4000,4100,100,2.5,240,270,610,60.37,125588,Master's degree,None,Internship/residency
State,California,2023-2025,4,19-3033,Clinical and Counseling Psychologists,9400,9700,300,3.2,400,500,1200,60.17,125152,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,19-3034,School Psychologists,12000,12200,200,1.7,420,1120,1740,52.14,108454,Master's degree,None,Internship/residency
State,California,2023-2025,4,19-3039,"Psychologists, All Other",5700,5900,200,3.5,350,380,930,61.39,127696,Master's degree,None,Internship/residency
State,California,2023-2025,4,19-3051,Urban and Regional Planners,8700,8900,200,2.3,420,950,1570,50.08,104165,Master's degree,None,None
State,California,2023-2025,4,19-3091,Anthropologists and Archeologists,1800,1800,0,0.0,70,230,300,32.20,66979,Master's degree,None,None
State,California,2023-2025,4,19-3099,"Social Scientists and Related Workers, All Other",2500,2500,0,0.0,90,320,410,44.85,93293,Bachelor's degree,None,None
State,California,2023-2025,3,19-4000,"Life, Physical, and Social Science Technicians",57700,58600,900,1.6,3080,10770,14750,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,19-4012,Agricultural Technicians,2000,2000,0,0.0,100,430,530,21.54,44798,Associate's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,19-4013,Food Science Technicians,4000,4100,100,2.5,210,870,1180,24.00,49928,Associate's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,19-4021,Biological Technicians,10700,10800,100,0.9,690,1930,2720,29.71,61787,Bachelor's degree,None,None
State,California,2023-2025,4,19-4031,Chemical Technicians,7400,7500,100,1.4,310,1400,1810,25.15,52316,Associate's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,19-4042,"Environmental Science and Protection Technicians, Including Health",6100,6300,200,3.3,220,1030,1450,27.97,58163,Associate's degree,None,None
State,California,2023-2025,4,19-4061,Social Science Research Assistants,6600,6800,200,3.0,380,1240,1820,30.99,64456,Bachelor's degree,None,None
State,California,2023-2025,4,19-4071,Forest and Conservation Technicians,6300,6400,100,1.6,360,1180,1640,20.85,43375,Associate's degree,None,None
State,California,2023-2025,4,19-4092,Forensic Science Technicians,2600,2700,100,3.8,150,490,740,42.68,88776,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,19-4099,"Life, Physical, and Social Science Technicians, All Other",10900,10900,0,0.0,620,2020,2640,28.38,59025,Associate's degree,None,None
State,California,2023-2025,3,19-5000,Occupational Health and Safety Specialists and Technicians,16000,16600,600,3.8,920,2500,4020,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,19-5011,Occupational Health and Safety Specialists,13200,13800,600,4.5,760,2070,3430,47.51,98818,Bachelor's degree,None,None
State,California,2023-2025,4,19-5012,Occupational Health and Safety Technicians,2800,2900,100,3.6,160,430,690,31.00,64476,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,2,21-0000,Community and Social Service Occupations,397100,414700,17600,4.4,30170,37630,85400,29.09,60489,N/A,N/A,N/A
State,California,2023-2025,3,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",363900,380300,16400,4.5,27210,34380,77990,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,21-1012,"Educational, Guidance, and Career Counselors and Advisors",42100,43400,1300,3.1,2570,3450,7320,36.06,75017,Master's degree,None,None
State,California,2023-2025,4,21-1013,Marriage and Family Therapists,34100,36000,1900,5.6,2350,2060,6310,28.40,59077,Master's degree,None,Internship/residency
State,California,2023-2025,4,21-1015,Rehabilitation Counselors,12100,12600,500,4.1,800,1090,2390,18.86,39211,Master's degree,None,None
State,California,2023-2025,4,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",42000,44300,2300,5.5,3110,3980,9390,27.99,58215,Bachelor's degree,None,None
State,California,2023-2025,4,21-1019,"Counselors, All Other",30700,32400,1700,5.5,2620,3190,7510,19.44,40426,Master's degree,None,None
State,California,2023-2025,4,21-1021,"Child, Family, and School Social Workers",51400,53500,2100,4.1,3400,4550,10050,31.26,65016,Bachelor's degree,None,None
State,California,2023-2025,4,21-1022,Healthcare Social Workers,15100,15800,700,4.6,1150,1450,3300,40.33,83895,Master's degree,None,Internship/residency
State,California,2023-2025,4,21-1023,Mental Health and Substance Abuse Social Workers,16700,17400,700,4.2,1270,1080,3050,39.71,82587,Master's degree,None,Internship/residency
State,California,2023-2025,4,21-1029,"Social Workers, All Other",7600,8000,400,5.3,500,730,1630,31.05,64591,Bachelor's degree,None,None
State,California,2023-2025,4,21-1091,Health Education Specialists,8800,9200,400,4.5,720,1050,2170,32.53,67664,Bachelor's degree,None,None
State,California,2023-2025,4,21-1092,Probation Officers and Correctional Treatment Specialists,14600,14800,200,1.4,900,1300,2400,49.00,101933,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,21-1093,Social and Human Service Assistants,64100,67500,3400,5.3,5800,7520,16720,22.89,47612,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,21-1094,Community Health Workers,9500,10100,600,6.3,790,1140,2530,25.12,52244,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,21-1099,"Community and Social Service Specialists, All Other",15000,15500,500,3.3,1220,1770,3490,23.02,47893,Bachelor's degree,None,None
State,California,2023-2025,3,21-2000,Religious Workers,33200,34400,1200,3.6,2970,3260,7430,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,21-2011,Clergy,16900,17600,700,4.1,1380,1420,3500,32.26,67104,Bachelor's degree,None,Moderate-term on-the-job training
